bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_123,40.870834,-0.955678,A-1508,Endesa,300,Congested
FRIC_124,40.753826,-1.332994,A-1509,Endesa,300,Congested
FRIC_125,40.627024,-1.000703,A-1510,Endesa,300,Congested
FRIC_126,40.387697,-1.181465,A-1512,Endesa,300,Congested
FRIC_127,40.35306,-1.132573,A-1513,Endesa,300,Congested
FRIC_128,40.123161,-0.769686,A-1514,Endesa,300,Congested
FRIC_129,40.120538,-0.740892,A-1515,Endesa,300,Congested
FRIC_130,42.503213,-1.216444,A-1601,i-DE,300,Congested
FRIC_131,42.735738,-0.815362,A-1602,Endesa,300,Congested
FRIC_132,42.524121,-0.673147,A-1603,Endesa,300,Congested
FRIC_133,42.45002,0.0577,A-1604,Endesa,300,Congested
FRIC_134,42.192103,0.339221,A-1605,Endesa,300,Congested
FRIC_135,40.843378,-0.551451,A-1702,Endesa,300,Congested
FRIC_136,42.602695,-0.730432,A-176,Endesa,300,Congested
FRIC_137,40.73456,-3.585849,A-1A,i-DE,300,Congested
FRIC_138,41.657268,1.174517,A-2,Endesa,300,Congested
FRIC_139,40.629964,-3.149237,A-2,i-DE,300,Congested
FRIC_140,41.034632,-2.465988,A-2,i-DE,300,Congested
FRIC_141,40.622172,-3.163362,A-2,i-DE,300,Congested
FRIC_142,40.973755,-2.617474,A-2,i-DE,300,Congested
FRIC_143,40.957636,-2.664054,A-2,i-DE,300,Congested
FRIC_144,41.639112,1.05631,A-2,Endesa,300,Congested
FRIC_145,41.639127,0.773748,A-2,Endesa,300,Congested
FRIC_146,41.652492,0.574529,A-2,Endesa,300,Congested
FRIC_147,41.635627,1.338619,A-2,Endesa,300,Congested
FRIC_148,40.470457,-3.425684,A-2,i-DE,300,Congested
FRIC_149,40.459702,-3.500178,A-2,i-DE,300,Congested
FRIC_150,40.449927,-3.58749,A-2,i-DE,300,Congested
FRIC_151,40.778619,-2.988287,A-2,i-DE,300,Congested
FRIC_152,40.646987,-3.142096,A-2,i-DE,300,Congested
FRIC_153,41.151707,-2.425984,A-2,i-DE,300,Congested
FRIC_154,41.41243,-1.508578,A-2,Endesa,300,Congested
FRIC_155,41.679504,-0.865008,A-2,Endesa,300,Congested
FRIC_156,41.623186,-0.717135,A-2,Endesa,300,Congested
FRIC_157,41.310056,-1.918617,A-2,Endesa,300,Congested
FRIC_158,41.544617,-1.143023,A-2,Endesa,300,Congested
FRIC_159,41.618448,-1.032579,A-2,Endesa,300,Congested
FRIC_160,41.629999,-0.991493,A-2,Endesa,300,Congested
FRIC_161,41.617156,-1.055045,A-2,Endesa,300,Congested
FRIC_162,36.712809,-6.148489,A-2000,Endesa,300,Congested
FRIC_163,36.630162,-6.199035,A-2002,Endesa,300,Congested
FRIC_164,36.657347,-6.085038,A-2004,Endesa,300,Congested
FRIC_165,41.337288,-1.66207,A-202,Endesa,300,Congested
FRIC_166,36.690718,-6.201235,A-2078,Endesa,300,Congested
FRIC_167,42.759373,-1.631062,A-21,i-DE,300,Congested
FRIC_168,42.713637,-1.517674,A-21,i-DE,300,Congested
FRIC_169,42.564071,-0.603402,A-21,Endesa,300,Congested
FRIC_170,36.285133,-5.312186,A-2100,Endesa,300,Congested
FRIC_171,41.514,-1.037625,A-2101,Endesa,300,Congested
FRIC_172,36.298308,-5.282784,A-2102,Endesa,300,Congested
FRIC_173,36.290989,-5.304774,A-2103,Endesa,300,Congested
FRIC_174,41.479414,-0.15047,A-2105,Endesa,300,Congested
FRIC_175,41.108401,-1.415286,A-211,Endesa,300,Congested
FRIC_176,42.09629,-0.118536,A-22,Endesa,300,Congested
FRIC_177,42.082248,-0.077266,A-22,Endesa,300,Congested
FRIC_178,42.114913,-0.232987,A-22,Endesa,300,Congested
FRIC_179,41.717251,0.43024,A-22,Endesa,300,Congested
FRIC_180,41.716799,0.449987,A-22-R1,Endesa,300,Congested
FRIC_181,41.740002,0.421524,A-22-R2,Endesa,300,Congested
FRIC_182,41.335458,-1.213912,A-220,Endesa,300,Congested
FRIC_183,36.722624,-5.917885,A-2200,Endesa,300,Congested
FRIC_184,36.746323,-5.866046,A-2202,Endesa,300,Congested
FRIC_185,42.100763,-0.148117,A-2203,Endesa,300,Congested
FRIC_186,42.407961,0.25538,A-2206,Endesa,300,Congested
FRIC_187,41.254771,-0.198239,A-221,Endesa,300,Congested
FRIC_188,42.141395,0.225583,A-2210,Endesa,300,Congested
FRIC_189,42.159232,0.325796,A-2211,Endesa,300,Congested
FRIC_190,41.791367,-0.147272,A-2212,Endesa,300,Congested
FRIC_191,41.499204,-0.045609,A-2213,Endesa,300,Congested
FRIC_192,41.509591,0.065886,A-2214,Endesa,300,Congested
FRIC_193,42.046626,0.462934,A-2216,Endesa,300,Congested
FRIC_194,41.758897,0.407051,A-2217,Endesa,300,Congested
FRIC_195,41.981321,0.490058,A-2218,Endesa,300,Congested
FRIC_196,41.837494,0.548954,A-2219,Endesa,300,Congested
FRIC_197,41.533277,-0.696971,A-222,Endesa,300,Congested
FRIC_198,41.025237,-0.808895,A-222,Endesa,300,Congested
FRIC_199,41.83228,0.2247,A-2220,Endesa,300,Congested
FRIC_200,36.298105,-5.593842,A-2226,Endesa,300,Congested
FRIC_201,36.209968,-5.788785,A-2227,Endesa,600,Moderate
FRIC_202,41.458431,-0.722178,A-222a,Endesa,300,Congested
FRIC_203,41.150613,-0.561633,A-223,Endesa,300,Congested
FRIC_204,36.289783,-6.063796,A-2232,Endesa,600,Moderate
FRIC_205,36.438821,-5.721646,A-2236,Endesa,300,Congested
FRIC_206,41.169353,-0.463063,A-224,Endesa,300,Congested
FRIC_207,40.825064,-0.202837,A-225,Endesa,300,Congested
FRIC_208,40.915521,-0.231081,A-226,Endesa,300,Congested
FRIC_209,40.474444,-0.78629,A-226,Endesa,300,Congested
FRIC_210,40.467704,-0.309864,A-227,i-DE,300,Congested
FRIC_211,40.158994,-0.770129,A-228,Endesa,300,Congested
FRIC_212,39.81638,-0.441635,A-23,i-DE,300,Congested
FRIC_213,40.10842,-0.728077,A-23,Endesa,300,Congested
FRIC_214,40.27405,-0.98434,A-23,Endesa,300,Congested
FRIC_215,40.431708,-1.210853,A-23,Endesa,300,Congested
FRIC_216,40.508202,-1.25422,A-23,Endesa,300,Congested
FRIC_217,40.279381,-0.987875,A-23,Endesa,300,Congested
FRIC_218,39.697459,-0.345076,A-23,i-DE,300,Congested
FRIC_219,42.03256,-0.582251,A-23,Endesa,300,Congested
FRIC_220,42.170214,-0.429793,A-23,Endesa,300,Congested
FRIC_221,42.142529,-0.431159,A-23,Endesa,300,Congested
FRIC_222,40.000356,-0.689392,A-23,i-DE,300,Congested
FRIC_223,39.8011,-0.419261,A-23,i-DE,300,Congested
FRIC_224,41.306873,-1.211703,A-23,Endesa,300,Congested
FRIC_225,41.289874,-1.225607,A-23,Endesa,300,Congested
FRIC_226,41.581584,-0.957127,A-23,Endesa,300,Congested
FRIC_227,41.702087,-0.839141,A-23,Endesa,300,Congested
FRIC_228,41.536817,-0.192304,A-230,Endesa,300,Congested
FRIC_229,41.455967,-1.467649,A-2302,Endesa,300,Congested
FRIC_230,41.640178,-1.287492,A-2304,Endesa,300,Congested
FRIC_231,41.33639,-0.931662,A-2305,Endesa,300,Congested
FRIC_232,41.030365,-0.806731,A-2306,Endesa,300,Congested
FRIC_233,41.204834,-0.712162,A-2307,Endesa,300,Congested
FRIC_234,42.346565,-4.708701,A-231,i-DE,300,Congested
FRIC_235,42.382669,-5.04142,A-231,i-DE,300,Congested
FRIC_236,42.456723,-5.480678,A-231,i-DE,300,Congested
FRIC_237,42.369646,-4.538241,A-231,i-DE,300,Congested
FRIC_238,40.961155,-0.008678,A-231,Endesa,300,Congested
FRIC_239,40.232972,-0.895465,A-232,Endesa,300,Congested
FRIC_240,36.078398,-5.690496,A-2325,Endesa,300,Congested
FRIC_241,40.869109,-0.935388,A-2401,Endesa,300,Congested
FRIC_242,40.804367,-0.699377,A-2402,Endesa,300,Congested
FRIC_243,40.625075,-0.784871,A-2403,Endesa,300,Congested
FRIC_244,41.034243,-0.18537,A-2405,Endesa,300,Congested
FRIC_245,40.930304,-0.207834,A-2406,Endesa,300,Congested
FRIC_246,41.010395,-0.086928,A-2407,Endesa,300,Congested
FRIC_247,40.889369,-0.033254,A-2409,Endesa,300,Congested
FRIC_248,41.346372,-0.088051,A-2410,Endesa,300,Congested
FRIC_249,40.871787,0.161447,A-2412,Endesa,300,Congested
FRIC_250,41.520552,0.36546,A-242,Endesa,300,Congested
FRIC_251,41.305621,-1.969316,A-2501,Endesa,300,Congested
FRIC_252,41.298565,-1.884692,A-2502,Endesa,300,Congested
FRIC_253,41.212566,-1.789024,A-2503,Endesa,300,Congested
FRIC_254,41.4331,-1.73229,A-2504,Endesa,300,Congested
FRIC_255,41.210791,-1.775144,A-2506,Endesa,300,Congested
FRIC_256,41.255156,-1.580723,A-2507,Endesa,300,Congested
FRIC_257,41.193713,-1.301056,A-2509,Endesa,300,Congested
FRIC_258,41.091302,-1.290666,A-2510,Endesa,300,Congested
FRIC_259,41.052724,-1.278518,A-2511,Endesa,300,Congested
FRIC_260,40.969092,-1.311799,A-2512,Endesa,300,Congested
FRIC_261,40.979889,-0.832298,A-2514,Endesa,300,Congested
FRIC_262,40.457572,-1.235646,A-2515,Endesa,300,Congested
FRIC_263,42.204918,2.704591,A-26,Endesa,300,Congested
FRIC_264,42.508455,-0.81507,A-2602,Endesa,300,Congested
FRIC_265,42.727032,-0.30724,A-2606,Endesa,300,Congested
FRIC_266,42.584998,0.217233,A-2609,Endesa,300,Congested
FRIC_267,42.638917,0.215082,A-2611,Endesa,300,Congested
FRIC_268,42.205643,0.347011,A-2612,Endesa,300,Congested
FRIC_269,42.61767,0.535963,A-2617,Endesa,300,Congested
FRIC_270,39.529312,-1.56361,A-3,i-DE,300,Congested
FRIC_271,39.480733,-0.453854,A-3,i-DE,300,Congested
FRIC_272,39.523858,-1.141933,A-3,i-DE,300,Congested
FRIC_273,39.525851,-1.40965,A-3,i-DE,300,Congested
FRIC_274,39.465679,-0.421176,A-3,i-DE,300,Congested
FRIC_275,40.359841,-3.560287,A-3,i-DE,300,Congested
FRIC_276,39.515695,-1.722353,A-3,i-DE,300,Congested
FRIC_277,39.623499,-2.30294,A-3,i-DE,300,Congested
FRIC_278,39.874646,-2.623665,A-3,i-DE,300,Congested
