location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_872,36.979949,-5.948574,AP-4,2,Congested
IBE_873,40.055472,-3.866389,AP-41,2,Congested
IBE_874,40.076331,-3.841349,AP-41,2,Congested
IBE_875,36.75855,-4.487981,AP-46,6,Sufficient
IBE_876,37.254862,-5.914715,AP-4A,2,Congested
IBE_877,37.248834,-5.915565,AP-4R,2,Congested
IBE_878,40.774288,-4.416164,AP-51,2,Congested
IBE_879,42.713077,-8.237098,AP-53,2,Congested
IBE_880,42.818934,-8.489335,AP-53,2,Congested
IBE_881,40.66902,-4.105423,AP-6,2,Congested
IBE_882,40.744313,-4.304193,AP-6,2,Congested
IBE_883,40.884417,-4.117007,AP-61,2,Congested
IBE_884,42.977571,-5.831345,AP-66,2,Congested
IBE_885,42.681344,-5.75238,AP-66,2,Congested
IBE_886,42.857331,-5.873187,AP-66,2,Congested
IBE_887,42.023366,-1.623084,AP-68,6,Sufficient
IBE_888,42.366583,-2.073406,AP-68,2,Congested
IBE_889,42.385258,-2.171979,AP-68,2,Congested
IBE_890,42.478552,-2.657272,AP-68,2,Congested
IBE_891,42.413993,-2.26035,AP-68,2,Congested
IBE_892,42.473479,-2.648359,AP-68,2,Congested
IBE_893,43.204345,-2.892477,AP-68,2,Congested
IBE_894,41.774013,-1.229961,AP-68,2,Congested
IBE_895,41.717654,-0.991704,AP-68,2,Congested
IBE_896,42.495987,-5.788728,AP-71,2,Congested
IBE_897,42.440628,-6.038879,AP-71,2,Congested
IBE_898,41.032882,0.916689,AP-7N,6,Sufficient
IBE_899,41.139391,1.344895,AP-7N,6,Sufficient
IBE_900,41.112933,1.132505,AP-7N,6,Sufficient
IBE_901,41.137654,1.180351,AP-7N,6,Sufficient
IBE_902,39.723821,-0.230835,AP-7N,2,Congested
IBE_903,38.918445,-0.132741,AP-7N,2,Congested
IBE_904,39.186173,-0.40063,AP-7N,2,Congested
IBE_905,37.457117,-1.556179,AP-7N,2,Congested
IBE_906,37.625807,-1.241497,AP-7N,6,Sufficient
IBE_907,37.668295,-0.897442,AP-7N,2,Congested
IBE_908,37.674324,-0.975176,AP-7N,2,Congested
IBE_909,37.826509,-0.814862,AP-7N,6,Sufficient
IBE_910,39.902516,-0.133079,AP-7N,2,Congested
IBE_911,42.164219,2.920976,AP-7N,2,Congested
IBE_912,41.899065,2.774798,AP-7N,2,Congested
IBE_913,42.264337,2.941943,AP-7N,2,Congested
IBE_914,40.319882,0.251312,AP-7N,2,Congested
IBE_915,40.042725,0.024794,AP-7N,2,Congested
IBE_916,39.795173,-0.167342,AP-7N,2,Congested
IBE_917,40.226117,0.198243,AP-7N,2,Congested
IBE_918,39.190694,-0.408229,AP-7N,2,Congested
IBE_919,41.282292,1.574183,AP-7N,6,Sufficient
IBE_920,37.656904,-0.899806,AP-7R,2,Congested
IBE_921,36.398075,-5.250261,AP-7S,2,Congested
IBE_922,36.474087,-5.103802,AP-7S,2,Congested
IBE_923,36.522148,-4.686009,AP-7S,2,Congested
IBE_924,43.284547,-2.325886,AP-8,2,Congested
IBE_925,43.316566,-1.854512,AP-8,4,Moderate
IBE_926,43.288967,-1.941633,AP-8,2,Congested
IBE_927,43.187341,-2.674108,AP-8,2,Congested
IBE_928,43.261027,-2.992594,AP-8,2,Congested
IBE_929,43.339126,-1.756456,AP-8-0,2,Congested
IBE_930,43.307212,-1.878894,AP-8-11,2,Congested
IBE_931,43.305243,-1.891966,AP-8-12,2,Congested
IBE_932,43.287083,-1.951818,AP-8-19,2,Congested
IBE_933,43.277133,-2.014827,AP-8-24,2,Congested
IBE_934,43.282696,-2.107056,AP-8-33,2,Congested
IBE_935,43.279176,-2.158706,AP-8-38,2,Congested
IBE_936,43.266275,-2.272365,AP-8-48,2,Congested
IBE_937,43.284791,-2.327434,AP-8-54,2,Congested
IBE_938,43.232051,-2.403669,AP-8-64,2,Congested
IBE_939,43.319977,-1.832064,AP-8-7,4,Moderate
IBE_940,43.192229,-2.441217,AP-8-71,2,Congested
IBE_941,42.700369,-8.637104,AP-9,2,Congested
IBE_942,42.415166,-8.65333,AP-9,2,Congested
IBE_943,43.237898,-8.258156,AP-9,2,Congested
IBE_944,43.080805,-8.357038,AP-9,2,Congested
IBE_945,42.885369,-8.506467,AP-9,2,Congested
IBE_946,42.855152,-8.566312,AP-9,2,Congested
IBE_947,42.629665,-8.660332,AP-9,2,Congested
IBE_948,43.442989,-8.172646,AP-9F,2,Congested
IBE_949,43.374566,-8.185359,AP-9F,2,Congested
IBE_950,42.256035,-8.679317,AP-9V,2,Congested
IBE_951,43.063931,-2.167799,N-1,2,Congested
IBE_952,43.082604,-2.147968,N-1,2,Congested
IBE_953,40.869578,-4.235415,N-110,2,Congested
IBE_954,40.269456,-5.673968,N-110,2,Congested
IBE_955,40.08838,-5.985359,N-110,2,Congested
IBE_956,41.161831,-3.661622,N-110,2,Congested
IBE_957,40.81869,-4.284454,N-110A,2,Congested
IBE_958,41.976476,-2.485821,N-111,2,Congested
IBE_959,41.986564,-2.487052,N-111,2,Congested
IBE_960,42.359102,-2.49266,N-111,2,Congested
IBE_961,41.729388,-2.477569,N-111,2,Congested
IBE_962,42.485336,-2.434452,N-111A,2,Congested
IBE_963,41.493275,-2.535499,N-111R,2,Congested
IBE_964,42.112744,-1.753894,N-113,2,Congested
IBE_965,42.324817,-5.286222,N-120,2,Congested
IBE_966,42.442471,-7.216205,N-120,2,Congested
IBE_967,42.368996,-5.037212,N-120,2,Congested
IBE_968,42.502164,-7.626166,N-120,2,Congested
IBE_969,42.201764,-8.410756,N-120,2,Congested
IBE_970,42.374948,-7.83047,N-120,2,Congested
IBE_971,42.480089,-7.693958,N-120,2,Congested
IBE_972,42.212734,-8.37145,N-120,2,Congested
IBE_973,42.366089,-4.875352,N-120,2,Congested
IBE_974,42.428762,-2.570984,N-120A,2,Congested
IBE_975,42.347365,-1.653163,N-121,2,Congested
IBE_976,43.131124,-1.600121,N-121-A,2,Congested
IBE_977,43.161328,-1.496078,N-121-B,2,Congested
IBE_978,41.963569,-1.689262,N-121-C,2,Congested
IBE_979,41.600016,-3.364425,N-122,2,Congested
IBE_980,41.842334,-1.672007,N-122,2,Congested
IBE_981,41.899902,-1.794596,N-122,2,Congested
IBE_982,41.83963,-1.420019,N-122,2,Congested
IBE_983,41.597929,-6.088599,N-122,2,Congested
IBE_984,41.770596,-2.510341,N-122,2,Congested
IBE_985,41.617464,-4.394623,N-122,2,Congested
IBE_986,41.740853,-6.541635,N-122A,2,Congested
IBE_987,41.573428,-3.122006,N-122R,2,Congested
IBE_988,42.03706,0.147553,N-123,2,Congested
IBE_989,42.177754,0.335081,N-123A,2,Congested
IBE_990,42.126877,0.389272,N-123B,2,Congested
IBE_991,42.561658,-2.838488,N-124,2,Congested
IBE_992,41.659162,-0.946713,N-125,2,Congested
IBE_993,42.550347,-2.90337,N-126,2,Congested
IBE_994,43.043187,-1.326849,N-135,2,Congested
IBE_995,42.775704,0.677922,N-141,2,Congested
IBE_996,42.366484,1.801151,N-1411,2,Congested
IBE_997,41.728945,1.384399,N-141f,2,Congested
IBE_998,42.414481,1.464402,N-145,2,Congested
IBE_999,42.433611,1.940138,N-152,2,Congested
IBE_1000,42.457112,1.967113,N-154,2,Congested
IBE_1001,42.464048,1.990789,N-155,2,Congested
IBE_1002,41.891031,2.782447,N-156,2,Congested
IBE_1003,40.84293,-3.619052,N-1A,2,Congested
IBE_1004,42.442904,2.866265,N-2,2,Congested
IBE_1005,41.321172,-1.77368,N-2,2,Congested
IBE_1006,42.221566,2.951393,N-2,2,Congested
IBE_1007,41.520111,-0.526489,N-2,2,Congested
IBE_1008,41.970683,2.849031,N-2,2,Congested
IBE_1009,41.887673,2.782934,N-2,2,Congested
IBE_1010,41.524012,-0.453179,N-2,2,Congested
IBE_1011,40.868374,-2.730404,N-204,2,Congested
IBE_1012,40.93391,-2.064626,N-211,2,Congested
IBE_1013,41.256255,0.020383,N-211,2,Congested
IBE_1014,41.244172,-0.053876,N-211,2,Congested
IBE_1015,40.832903,-1.82306,N-211,2,Congested
IBE_1016,41.137584,-0.145156,N-211,2,Congested
IBE_1017,40.801654,-0.639978,N-211,2,Congested
IBE_1018,40.895379,-0.376114,N-211A,2,Congested
IBE_1019,39.492527,-0.46982,N-220,2,Congested
IBE_1020,40.349455,-1.100703,N-223,2,Congested
IBE_1021,39.785625,-0.265555,N-225,2,Congested
IBE_1022,39.781935,-0.310766,N-225A,2,Congested
IBE_1023,42.270244,0.733938,N-230,2,Congested
IBE_1024,42.768073,0.686147,N-230,2,Congested
IBE_1025,41.886893,0.500249,N-230,2,Congested
IBE_1026,41.730188,0.590905,N-230,2,Congested
IBE_1027,42.559004,-2.908887,N-232,2,Congested
IBE_1028,40.757553,-0.058013,N-232,2,Congested
IBE_1029,41.89463,-1.40691,N-232,4,Moderate
IBE_1030,40.619551,-0.095197,N-232,2,Congested
IBE_1031,41.498407,-0.593296,N-232,2,Congested
IBE_1032,42.470307,-2.627925,N-232,2,Congested
IBE_1033,42.192426,-1.768617,N-232,2,Congested
IBE_1034,40.828291,-0.026915,N-232,2,Congested
IBE_1035,41.703057,-1.002533,N-232,2,Congested
IBE_1036,41.546506,-0.698526,N-232A,2,Congested
IBE_1037,41.039189,-0.122806,N-232B,2,Congested
IBE_1038,41.82939,-3.067386,N-234,2,Congested
IBE_1039,42.076277,-3.4359,N-234,2,Congested
IBE_1040,41.258532,-1.586154,N-234,2,Congested
IBE_1041,40.549398,-1.277977,N-234,2,Congested
IBE_1042,41.672231,-2.147453,N-234,2,Congested
IBE_1043,41.727103,-2.305655,N-234,2,Congested
IBE_1044,40.565683,-1.286574,N-234,2,Congested
IBE_1045,41.618031,-1.995276,N-234,2,Congested
IBE_1046,42.000164,-3.293947,N-234A,2,Congested
IBE_1047,40.752522,0.607039,N-235,2,Congested
IBE_1048,40.496735,0.465079,N-238,2,Congested
IBE_1049,41.91818,0.179891,N-240,2,Congested
IBE_1050,41.897794,0.211983,N-240,2,Congested
IBE_1051,41.637299,0.583246,N-240,2,Congested
IBE_1052,41.580319,0.746839,N-240,2,Congested
IBE_1053,41.509433,0.87549,N-240,2,Congested
IBE_1054,41.488683,0.905883,N-240,2,Congested
IBE_1055,41.608056,0.674079,N-240,2,Congested
IBE_1056,42.86927,-1.728725,N-240-A,2,Congested
IBE_1057,41.368015,1.174077,N-240A,4,Moderate
IBE_1058,42.559826,-0.657296,N-240R,2,Congested
IBE_1059,42.492219,-0.322254,N-260,2,Congested
IBE_1060,42.46618,0.614608,N-260,2,Congested
IBE_1061,42.41603,0.26704,N-260,2,Congested
IBE_1062,42.35473,1.951774,N-260,2,Congested
IBE_1063,42.491371,0.512767,N-260,2,Congested
IBE_1064,42.342366,3.092727,N-260,2,Congested
IBE_1065,42.406325,1.128557,N-260,2,Congested
IBE_1066,42.375497,3.156389,N-260,2,Congested
IBE_1067,42.556567,-0.337536,N-260A,2,Congested
IBE_1068,42.362686,1.813092,N-260R,2,Congested
IBE_1069,42.2104,2.538878,N-260z,2,Congested
IBE_1070,41.50151,0.04112,N-2A,2,Congested
IBE_1071,40.960922,-2.654768,N-2A,2,Congested
IBE_1072,41.308829,-1.923541,N-2R,2,Congested
IBE_1073,39.454887,-0.862559,N-3,2,Congested
IBE_1074,39.566312,-2.031822,N-3,2,Congested
IBE_1075,38.289051,-1.459838,N-301,2,Congested
IBE_1076,39.573343,-3.045195,N-301,2,Congested
IBE_1077,38.197493,-1.337818,N-301,2,Congested
IBE_1078,39.625616,-3.068119,N-301,2,Congested
IBE_1079,38.249277,-1.408942,N-301,2,Congested
IBE_1080,38.236787,-1.398226,N-301A,2,Congested
IBE_1081,37.919205,-1.16536,N-301a,2,Congested
IBE_1082,39.443454,-2.037862,N-310,2,Congested
IBE_1083,39.110924,-3.14835,N-310,2,Congested
IBE_1084,37.631208,-1.001388,N-310A,4,Moderate
IBE_1085,40.543538,-2.800711,N-320,2,Congested
IBE_1086,40.369717,-2.423619,N-320,2,Congested
IBE_1087,40.058586,-2.166453,N-320,2,Congested
IBE_1088,40.354696,-2.396012,N-320,2,Congested
IBE_1089,40.56114,-2.919347,N-320A,2,Congested
IBE_1090,38.213757,-2.972577,N-322,2,Congested
IBE_1091,38.067736,-3.559891,N-322,2,Congested
IBE_1092,38.038179,-3.287379,N-322,2,Congested
IBE_1093,38.172325,-3.00582,N-322A,2,Congested
IBE_1094,36.725504,-3.537811,N-323,2,Congested
IBE_1095,37.892568,-3.777588,N-323A,2,Congested
IBE_1096,37.789265,-3.775481,N-323A,2,Congested
IBE_1097,37.679052,-3.626187,N-323A,2,Congested
IBE_1098,39.821212,-1.254921,N-330,2,Congested
IBE_1099,39.57723,-1.199322,N-330,2,Congested
IBE_1100,41.195465,-1.298768,N-330,2,Congested
IBE_1101,39.220461,-1.06239,N-330,2,Congested
IBE_1102,39.867973,-1.324005,N-330,2,Congested
IBE_1103,40.067654,-1.270574,N-330,2,Congested
IBE_1104,40.239857,-1.178104,N-330,2,Congested
IBE_1105,42.505159,-0.353504,N-330,2,Congested
IBE_1106,41.59333,-0.943387,N-330,2,Congested
IBE_1107,42.750338,-0.51554,N-330A,2,Congested
IBE_1108,42.785177,-0.523303,N-330B,2,Congested
IBE_1109,37.36821,-4.489169,N-331,2,Congested
IBE_1110,37.294764,-4.474768,N-331,2,Congested
IBE_1111,37.362047,-4.487272,N-331,2,Congested
IBE_1112,37.459906,-4.573865,N-331R,2,Congested
